GREP i bandpass median diff
GREP 0 0.000000 0.000000 0.000000
GREP 1 0.000000 0.000000 -0.000000
GREP 2 0.000000 0.000000 -0.000000
GREP 3 0.000000 0.000000 -0.000000
GREP 4 0.000000 0.000000 -0.000000
GREP 5 0.000000 0.000000 0.000000
GREP 6 0.000000 0.000000 0.000000
GREP 7 0.000000 0.000000 0.000000
GREP 8 0.000000 0.000000 0.000000
GREP 9 0.000000 0.000000 -0.000000
GREP 10 0.000000 0.000000 0.000000
GREP 11 0.000000 0.000000 0.000000
GREP 12 0.000000 0.000000 -0.000000
GREP 13 0.000000 0.000000 0.000000
GREP 14 0.000000 0.000000 -0.000000
GREP 15 0.000000 0.000000 0.000000
GREP 16 0.000000 0.000000 -0.000000
GREP 17 0.000000 0.000000 -0.000000
GREP 18 0.000000 0.000000 0.000000
GREP 19 0.000000 0.000000 0.000000
GREP 20 0.000000 0.000000 -0.000000
GREP 21 0.000000 0.000000 -0.000000
GREP 22 0.000000 0.000000 0.000000
GREP 23 0.000000 0.000000 0.000000
GREP 24 0.000000 0.000000 -0.000000
GREP 25 0.000000 0.000000 0.000000
GREP 26 0.000000 0.000000 0.000000
GREP 27 0.000000 0.000000 -0.000000
GREP 28 0.000000 0.000000 -0.000000
GREP 29 0.000000 0.000000 -0.000000
GREP 30 0.000000 0.000000 0.000000
GREP 31 0.000000 0.000000 0.000000
GREP 32 0.000000 0.000000 0.000000
GREP 33 0.000000 0.000000 -0.000000
GREP 34 0.000000 0.000000 0.000000
GREP 35 0.000000 0.000000 0.000000
GREP 36 0.000000 0.000000 -0.000000
GREP 37 0.000000 0.000000 -0.000000
GREP 38 0.000000 0.000000 0.000000
GREP 39 0.000000 0.000000 0.000000
GREP 40 0.000000 0.000000 -0.000000
GREP 41 0.000000 0.000000 -0.000000
GREP 42 0.000000 0.000000 -0.000000
GREP 43 0.000000 0.000000 0.000000
GREP 44 0.000000 0.000000 0.000000
GREP 45 0.000000 0.000000 -0.000000
GREP 46 0.000000 0.000000 0.000000
GREP 47 0.000000 0.000000 0.000000
GREP 48 0.000000 0.000000 -0.000000
GREP 49 0.000000 0.000000 0.000000
GREP 50 0.000000 0.000000 0.000000
GREP 51 0.000000 0.000000 0.000000
GREP 52 0.000000 0.000000 0.000000
GREP 53 0.000000 0.000000 -0.000000
GREP 54 0.000000 0.000000 -0.000000
GREP 55 0.000000 0.000000 -0.000000
GREP 56 0.000000 0.000000 -0.000000
GREP 57 0.000000 0.000000 -0.000000
GREP 58 0.000000 0.000000 0.000000
GREP 59 0.000000 0.000000 0.000000
GREP 60 0.000000 0.000000 0.000000
GREP 61 0.000000 0.000000 0.000000
GREP 62 0.000000 0.000000 0.000000
GREP 63 0.000000 0.000000 0.000000
GREP 64 0.000000 0.000000 0.000000
GREP 65 0.000000 0.000000 -0.000000
GREP 66 0.000000 0.000000 0.000000
GREP 67 0.000000 0.000000 -0.000000
GREP 68 0.000000 0.000000 0.000000
GREP 69 0.000000 0.000000 -0.000000
GREP 70 0.000000 0.000000 -0.000000
GREP 71 0.000000 0.000000 -0.000000
GREP 72 0.000000 0.000000 -0.000000
GREP 73 0.000000 0.000000 0.000000
GREP 74 0.000000 0.000000 -0.000000
GREP 75 0.000000 0.000000 -0.000000
GREP 76 0.000000 0.000000 0.000000
GREP 77 0.000000 0.000000 0.000000
GREP 78 0.000000 0.000000 0.000000
GREP 79 0.000001 0.000000 0.000000
GREP 80 0.000001 0.000001 0.000000
GREP 81 0.000004 0.000001 0.000002
GREP 82 0.000008 0.000004 0.000004
GREP 83 0.000014 0.000008 0.000006
GREP 84 0.000029 0.000013 0.000016
GREP 85 0.000057 0.000029 0.000028
GREP 86 0.000102 0.000057 0.000045
GREP 87 0.000225 0.000102 0.000124
GREP 88 0.014698 0.000152 0.014546
GREP 89 0.000152 0.000164 -0.000012
GREP 90 0.000164 0.000168 -0.000004
GREP 91 0.000284 0.000172 0.000112
GREP 92 0.000168 0.000183 -0.000016
GREP 93 0.000172 0.000192 -0.000019
GREP 94 0.000183 0.000192 -0.000008
GREP 95 0.000192 0.000193 -0.000001
GREP 96 0.000192 0.000197 -0.000006
GREP 97 0.000214 0.000203 0.000011
GREP 98 0.000209 0.000203 0.000007
GREP 99 0.000197 0.000202 -0.000005
GREP 100 0.000193 0.000202 -0.000010
GREP 101 0.000203 0.000203 0.000000
GREP 102 0.000210 0.000204 0.000007
GREP 103 0.000204 0.000204 0.000000
GREP 104 0.000210 0.000207 0.000004
GREP 105 0.000207 0.000207 0.000000
GREP 106 0.000242 0.000207 0.000035
GREP 107 0.000291 0.000209 0.000082
GREP 108 0.000674 0.000209 0.000464
GREP 109 0.000268 0.000209 0.000059
GREP 110 0.000197 0.000209 -0.000012
GREP 111 0.000201 0.000209 -0.000008
GREP 112 0.000215 0.000210 0.000005
GREP 113 0.000211 0.000210 0.000001
GREP 114 0.000741 0.000210 0.000531
GREP 115 0.042021 0.000211 0.041810
GREP 116 0.000219 0.000215 0.000004
GREP 117 0.000206 0.000216 -0.000010
GREP 118 0.000203 0.000216 -0.000013
GREP 119 0.000210 0.000216 -0.000006
