JUNK i bandpass MEDIAN DIFF^2
MEDIAN 0 -10.820810 -10.837717 0.000286
MEDIAN 1 -10.838311 -10.837717 0.000000
MEDIAN 2 -10.826473 -10.837717 0.000126
MEDIAN 3 -10.851730 -10.837717 0.000196
MEDIAN 4 -10.813996 -10.837717 0.000563
MEDIAN 5 -10.842087 -10.837717 0.000019
MEDIAN 6 -10.307082 -10.837717 0.281573
MEDIAN 7 -10.836192 -10.837717 0.000002
MEDIAN 8 -10.827374 -10.837717 0.000107
MEDIAN 9 -10.841438 -10.837717 0.000014
MEDIAN 10 -10.857945 -10.837717 0.000409
MEDIAN 11 -10.829615 -10.837717 0.000066
MEDIAN 12 -10.830311 -10.837717 0.000055
MEDIAN 13 -10.833464 -10.837717 0.000018
MEDIAN 14 -10.850326 -10.837717 0.000159
MEDIAN 15 -10.863267 -10.837717 0.000653
MEDIAN 16 -10.835739 -10.843158 0.000055
MEDIAN 17 -10.846663 -10.843158 0.000012
MEDIAN 18 -10.614342 -10.843158 0.052357
MEDIAN 19 -10.864092 -10.843158 0.000438
MEDIAN 20 -10.828090 -10.843158 0.000227
MEDIAN 21 -10.841022 -10.846422 0.000029
MEDIAN 22 -10.841191 -10.845334 0.000017
MEDIAN 23 -10.844257 -10.845334 0.000001
MEDIAN 24 -10.826904 -10.845334 0.000340
MEDIAN 25 -10.340014 -10.846422 0.256450
MEDIAN 26 -10.851055 -10.845334 0.000033
MEDIAN 27 -10.850757 -10.845334 0.000029
MEDIAN 28 -10.854306 -10.845334 0.000080
MEDIAN 29 -10.849464 -10.844246 0.000027
MEDIAN 30 -10.847736 -10.845334 0.000006
MEDIAN 31 -10.820238 -10.845334 0.000630
MEDIAN 32 -10.864070 -10.846422 0.000311
MEDIAN 33 -10.853444 -10.846422 0.000049
MEDIAN 34 -10.838408 -10.849687 0.000127
MEDIAN 35 -10.835733 -10.850775 0.000226
MEDIAN 36 -10.836159 -10.850775 0.000214
MEDIAN 37 -10.849864 -10.850775 0.000001
MEDIAN 38 -10.836785 -10.850775 0.000196
MEDIAN 39 -10.849216 -10.850775 0.000002
MEDIAN 40 -10.844160 -10.850775 0.000044
MEDIAN 41 -10.838408 -10.850775 0.000153
MEDIAN 42 -10.853469 -10.850775 0.000007
MEDIAN 43 -10.865129 -10.850775 0.000206
MEDIAN 44 -10.868118 -10.850775 0.000301
MEDIAN 45 -10.803299 -10.850775 0.002254
MEDIAN 46 -10.849044 -10.850775 0.000003
MEDIAN 47 -10.850559 -10.851862 0.000002
MEDIAN 48 -10.872506 -10.851862 0.000426
MEDIAN 49 -10.842413 -10.851862 0.000089
MEDIAN 50 -10.862810 -10.851862 0.000120
MEDIAN 51 -10.864016 -10.852950 0.000122
MEDIAN 52 -10.715348 -10.852950 0.018934
MEDIAN 53 -10.853794 -10.855126 0.000002
MEDIAN 54 -10.851548 -10.854038 0.000006
MEDIAN 55 -10.841755 -10.854038 0.000151
MEDIAN 56 -10.851733 -10.852950 0.000001
MEDIAN 57 -10.863194 -10.852950 0.000105
MEDIAN 58 -10.842712 -10.855126 0.000154
MEDIAN 59 -10.862478 -10.855126 0.000054
MEDIAN 60 -10.861420 -10.855126 0.000040
MEDIAN 61 -10.846816 -10.855126 0.000069
MEDIAN 62 -10.839150 -10.854038 0.000222
MEDIAN 63 -10.862017 -10.852950 0.000082
MEDIAN 64 -10.853166 -10.852950 0.000000
MEDIAN 65 -10.859027 -10.852950 0.000037
MEDIAN 66 -10.841544 -10.852950 0.000130
MEDIAN 67 -10.854241 -10.852950 0.000002
MEDIAN 68 -10.836248 -10.851862 0.000244
MEDIAN 69 -10.864314 -10.849687 0.000214
MEDIAN 70 -10.856186 -10.849687 0.000042
MEDIAN 71 -10.863105 -10.848598 0.000210
MEDIAN 72 -10.851487 -10.847510 0.000016
MEDIAN 73 -10.851213 -10.847510 0.000014
MEDIAN 74 -10.847724 -10.847510 0.000000
MEDIAN 75 -10.848269 -10.842070 0.000038
MEDIAN 76 -10.828107 -10.836629 0.000073
MEDIAN 77 -10.767024 -10.829012 0.003842
MEDIAN 78 -10.604080 -10.821395 0.047226
MEDIAN 79 -9.976188 -10.768077 0.627088
MEDIAN 80 -9.692915 -10.604858 0.831641
MEDIAN 81 -9.081758 -9.977011 0.801477
MEDIAN 82 -9.129387 -9.693010 0.317671
MEDIAN 83 -8.789496 -9.130450 0.116250
MEDIAN 84 -8.467647 -9.082573 0.378134
MEDIAN 85 -8.139863 -8.789867 0.422506
MEDIAN 86 -7.915778 -8.467782 0.304709
MEDIAN 87 -7.735780 -8.140257 0.163602
MEDIAN 88 -5.141844 -7.916103 7.696514
MEDIAN 89 -7.678296 -7.736563 0.003395
MEDIAN 90 -7.643445 -7.678892 0.001257
MEDIAN 91 -6.108071 -7.669099 2.436808
MEDIAN 92 -7.668277 -7.659306 0.000080
MEDIAN 93 -7.658559 -7.644073 0.000210
MEDIAN 94 -7.620521 -7.621222 0.000000
MEDIAN 95 -7.596103 -7.620133 0.000577
MEDIAN 96 -7.619539 -7.612516 0.000049
MEDIAN 97 -6.434993 -7.596195 1.348389
MEDIAN 98 -7.216204 -7.586402 0.137047
MEDIAN 99 -7.534571 -7.574432 0.001589
MEDIAN 100 -7.612345 -7.574432 0.001437
MEDIAN 101 -7.586197 -7.572256 0.000194
MEDIAN 102 -7.571808 -7.571168 0.000000
MEDIAN 103 -7.573935 -7.571168 0.000008
MEDIAN 104 -7.553593 -7.565727 0.000147
MEDIAN 105 -7.570992 -7.562463 0.000073
MEDIAN 106 -6.414698 -7.562463 1.317364
MEDIAN 107 -6.801596 -7.558110 0.572314
MEDIAN 108 -6.079996 -7.553758 2.171975
MEDIAN 109 -7.472606 -7.553758 0.006586
MEDIAN 110 -7.565034 -7.553758 0.000127
MEDIAN 111 -7.557588 -7.553758 0.000015
MEDIAN 112 -7.550341 -7.551581 0.000002
MEDIAN 113 -7.561956 -7.550493 0.000131
MEDIAN 114 -7.395692 -7.543965 0.021985
MEDIAN 115 -4.672055 -7.539612 8.222886
MEDIAN 116 -7.443243 -7.537436 0.008872
MEDIAN 117 -7.354153 -7.521114 0.027876
MEDIAN 118 -7.562752 -7.521114 0.001734
MEDIAN 119 -7.538663 -7.521114 0.000308
MEDIAN 120 -7.506478 -7.521114 0.000214
MEDIAN 121 -7.536541 -7.521114 0.000238
MEDIAN 122 -7.550824 -7.514585 0.001313
MEDIAN 123 -7.543906 -7.508057 0.001285
MEDIAN 124 -6.395577 -7.506968 1.235190
MEDIAN 125 -7.520196 -7.501528 0.000349
MEDIAN 126 -7.473228 -7.501528 0.000801
MEDIAN 127 -7.495775 -7.501528 0.000033
MEDIAN 128 -7.506730 -7.501528 0.000027
MEDIAN 129 -7.514067 -7.501528 0.000157
MEDIAN 130 -7.494298 -7.497175 0.000008
MEDIAN 131 -7.495261 -7.496087 0.000001
MEDIAN 132 -7.501293 -7.494999 0.000040
MEDIAN 133 -6.759356 -7.494999 0.541170
MEDIAN 134 -5.094842 -7.492823 5.750309
MEDIAN 135 -7.465466 -7.489558 0.000580
MEDIAN 136 -6.547321 -7.490646 0.889862
MEDIAN 137 -7.481287 -7.490646 0.000088
MEDIAN 138 -7.488487 -7.491735 0.000011
MEDIAN 139 -7.457442 -7.491735 0.001176
MEDIAN 140 -7.464472 -7.491735 0.000743
MEDIAN 141 -4.508596 -7.491735 8.899113
MEDIAN 142 -7.135624 -7.491735 0.126814
MEDIAN 143 -7.411937 -7.491735 0.006368
MEDIAN 144 -7.462087 -7.491735 0.000879
MEDIAN 145 -7.511558 -7.493911 0.000311
MEDIAN 146 -7.492162 -7.494999 0.000008
MEDIAN 147 -7.477844 -7.508057 0.000913
MEDIAN 148 -7.490438 -7.513497 0.000532
MEDIAN 149 -7.493063 -7.538524 0.002067
MEDIAN 150 -7.506099 -7.557022 0.002593
MEDIAN 151 -7.536821 -7.592930 0.003148
MEDIAN 152 -7.555735 -7.649513 0.008794
MEDIAN 153 -7.591275 -7.777911 0.034833
MEDIAN 154 -7.648130 -7.938954 0.084578
MEDIAN 155 -7.776811 -8.096732 0.102350
MEDIAN 156 -7.937320 -8.337208 0.159910
MEDIAN 157 -8.094727 -8.567890 0.223884
MEDIAN 158 -8.336084 -8.782250 0.199064
MEDIAN 159 -8.566241 -9.014021 0.200507
MEDIAN 160 -8.780984 -9.323048 0.293833
MEDIAN 161 -9.012687 -9.637516 0.390412
MEDIAN 162 -9.321683 -9.950895 0.395908
MEDIAN 163 -9.635700 -10.213134 0.333430
MEDIAN 164 -9.948859 -10.380705 0.186491
MEDIAN 165 -10.211878 -10.541747 0.108814
MEDIAN 166 -10.378966 -10.577655 0.039477
MEDIAN 167 -10.539927 -10.661441 0.014765
MEDIAN 168 -10.575514 -10.690820 0.013295
MEDIAN 169 -10.659953 -10.753931 0.008832
MEDIAN 170 -10.688825 -10.772429 0.006990
MEDIAN 171 -10.771251 -10.782223 0.000120
MEDIAN 172 -10.751941 -10.794192 0.001785
MEDIAN 173 -10.800835 -10.802896 0.000004
MEDIAN 174 -10.780984 -10.802896 0.000480
MEDIAN 175 -10.793085 -10.817042 0.000574
MEDIAN 176 -10.801150 -10.822483 0.000455
MEDIAN 177 -10.815271 -10.825747 0.000110
MEDIAN 178 -10.823851 -10.833364 0.000091
MEDIAN 179 -10.851407 -10.836629 0.000218
MEDIAN 180 -10.843633 -10.838805 0.000023
MEDIAN 181 -10.839211 -10.840981 0.000003
MEDIAN 182 -10.857273 -10.844246 0.000170
